"TIME","GEO","CITIZEN","UNIT","Value"
"1985","European Union (27 countries)","Total","Person",":"
"1985","Belgium","Total","Person","5,385"
"1985","Bulgaria","Total","Person",":"
"1985","Czech Republic","Total","Person",":"
"1985","Denmark","Total","Person","8,700"
"1985","Germany (until 1990 former territory of the FRG)","Total","Person","73,830"
"1985","Estonia","Total","Person",":"
"1985","Ireland","Total","Person",":"
"1985","Greece","Total","Person","1,400"
"1985","Spain","Total","Person","2,300"
"1985","France","Total","Person","28,925"
"1985","Italy","Total","Person","5,400"
"1985","Cyprus","Total","Person",":"
"1985","Latvia","Total","Person",":"
"1985","Lithuania","Total","Person",":"
"1985","Luxembourg","Total","Person","80"
"1985","Hungary","Total","Person",":"
"1985","Malta","Total","Person",":"
"1985","Netherlands","Total","Person","5,645"
"1985","Austria","Total","Person","6,725"
"1985","Poland","Total","Person",":"
"1985","Portugal","Total","Person","70"
"1985","Romania","Total","Person",":"
"1985","Slovenia","Total","Person",":"
"1985","Slovakia","Total","Person",":"
"1985","Finland","Total","Person","20"
"1985","Sweden","Total","Person","14,500"
"1985","United Kingdom","Total","Person","6,200"
"1985","Iceland","Total","Person",":"
"1985","Norway","Total","Person","830"
"1985","Switzerland","Total","Person",":"
"1986","European Union (27 countries)","Total","Person",":"
"1986","Belgium","Total","Person","7,645"
"1986","Bulgaria","Total","Person",":"
"1986","Czech Republic","Total","Person",":"
"1986","Denmark","Total","Person","9,300"
"1986","Germany (until 1990 former territory of the FRG)","Total","Person","99,650"
"1986","Estonia","Total","Person",":"
"1986","Ireland","Total","Person",":"
"1986","Greece","Total","Person","4,300"
"1986","Spain","Total","Person","2,300"
"1986","France","Total","Person","26,290"
"1986","Italy","Total","Person","6,500"
"1986","Cyprus","Total","Person",":"
"1986","Latvia","Total","Person",":"
"1986","Lithuania","Total","Person",":"
"1986","Luxembourg","Total","Person","90"
"1986","Hungary","Total","Person",":"
"1986","Malta","Total","Person",":"
"1986","Netherlands","Total","Person","5,865"
"1986","Austria","Total","Person","8,640"
"1986","Poland","Total","Person",":"
"1986","Portugal","Total","Person","120"
"1986","Romania","Total","Person",":"
"1986","Slovenia","Total","Person",":"
"1986","Slovakia","Total","Person",":"
"1986","Finland","Total","Person","25"
"1986","Sweden","Total","Person","14,600"
"1986","United Kingdom","Total","Person","5,700"
"1986","Iceland","Total","Person",":"
"1986","Norway","Total","Person","2,720"
"1986","Switzerland","Total","Person","8,195"
"1987","European Union (27 countries)","Total","Person",":"
"1987","Belgium","Total","Person","5,975"
"1987","Bulgaria","Total","Person",":"
"1987","Czech Republic","Total","Person",":"
"1987","Denmark","Total","Person","2,725"
"1987","Germany (until 1990 former territory of the FRG)","Total","Person","57,380"
"1987","Estonia","Total","Person",":"
"1987","Ireland","Total","Person","50"
"1987","Greece","Total","Person","6,300"
"1987","Spain","Total","Person","2,500"
"1987","France","Total","Person","27,670"
"1987","Italy","Total","Person","11,000"
"1987","Cyprus","Total","Person",":"
"1987","Latvia","Total","Person",":"
"1987","Lithuania","Total","Person",":"
"1987","Luxembourg","Total","Person","100"
"1987","Hungary","Total","Person",":"
"1987","Malta","Total","Person",":"
"1987","Netherlands","Total","Person","13,460"
"1987","Austria","Total","Person","11,405"
"1987","Poland","Total","Person",":"
"1987","Portugal","Total","Person","180"
"1987","Romania","Total","Person",":"
"1987","Slovenia","Total","Person",":"
"1987","Slovakia","Total","Person",":"
"1987","Finland","Total","Person","50"
"1987","Sweden","Total","Person","18,115"
"1987","United Kingdom","Total","Person","5,865"
"1987","Iceland","Total","Person","5"
"1987","Norway","Total","Person","8,615"
"1987","Switzerland","Total","Person","10,680"
"1988","European Union (27 countries)","Total","Person",":"
"1988","Belgium","Total","Person","4,510"
"1988","Bulgaria","Total","Person",":"
"1988","Czech Republic","Total","Person",":"
"1988","Denmark","Total","Person","4,670"
"1988","Germany (until 1990 former territory of the FRG)","Total","Person","103,075"
"1988","Estonia","Total","Person",":"
"1988","Ireland","Total","Person","50"
"1988","Greece","Total","Person","9,300"
"1988","Spain","Total","Person","4,515"
"1988","France","Total","Person","34,350"
"1988","Italy","Total","Person","1,300"
"1988","Cyprus","Total","Person",":"
"1988","Latvia","Total","Person",":"
"1988","Lithuania","Total","Person",":"
"1988","Luxembourg","Total","Person","45"
"1988","Hungary","Total","Person",":"
"1988","Malta","Total","Person",":"
"1988","Netherlands","Total","Person","7,485"
"1988","Austria","Total","Person","15,790"
"1988","Poland","Total","Person",":"
"1988","Portugal","Total","Person","250"
"1988","Romania","Total","Person",":"
"1988","Slovenia","Total","Person",":"
"1988","Slovakia","Total","Person",":"
"1988","Finland","Total","Person","65"
"1988","Sweden","Total","Person","19,595"
"1988","United Kingdom","Total","Person","5,740"
"1988","Iceland","Total","Person",":"
"1988","Norway","Total","Person","6,600"
"1988","Switzerland","Total","Person","16,220"
"1989","European Union (27 countries)","Total","Person",":"
"1989","Belgium","Total","Person","8,190"
"1989","Bulgaria","Total","Person",":"
"1989","Czech Republic","Total","Person",":"
"1989","Denmark","Total","Person","4,590"
"1989","Germany (until 1990 former territory of the FRG)","Total","Person","121,320"
"1989","Estonia","Total","Person",":"
"1989","Ireland","Total","Person","40"
"1989","Greece","Total","Person","6,500"
"1989","Spain","Total","Person","4,075"
"1989","France","Total","Person","61,420"
"1989","Italy","Total","Person","2,240"
"1989","Cyprus","Total","Person",":"
"1989","Latvia","Total","Person",":"
"1989","Lithuania","Total","Person",":"
"1989","Luxembourg","Total","Person","85"
"1989","Hungary","Total","Person",":"
"1989","Malta","Total","Person",":"
"1989","Netherlands","Total","Person","13,900"
"1989","Austria","Total","Person","21,880"
"1989","Poland","Total","Person",":"
"1989","Portugal","Total","Person","115"
"1989","Romania","Total","Person",":"
"1989","Slovenia","Total","Person",":"
"1989","Slovakia","Total","Person",":"
"1989","Finland","Total","Person","180"
"1989","Sweden","Total","Person","30,335"
"1989","United Kingdom","Total","Person","16,775"
"1989","Iceland","Total","Person","10"
"1989","Norway","Total","Person","4,435"
"1989","Switzerland","Total","Person","24,110"
"1990","European Union (27 countries)","Total","Person",":"
"1990","Belgium","Total","Person","12,945"
"1990","Bulgaria","Total","Person",":"
"1990","Czech Republic","Total","Person",":"
"1990","Denmark","Total","Person","5,290"
"1990","Germany (until 1990 former territory of the FRG)","Total","Person","193,065"
"1990","Estonia","Total","Person",":"
"1990","Ireland","Total","Person","60"
"1990","Greece","Total","Person","4,100"
"1990","Spain","Total","Person","8,645"
"1990","France","Total","Person","54,815"
"1990","Italy","Total","Person","3,570"
"1990","Cyprus","Total","Person",":"
"1990","Latvia","Total","Person",":"
"1990","Lithuania","Total","Person",":"
"1990","Luxembourg","Total","Person","115"
"1990","Hungary","Total","Person",":"
"1990","Malta","Total","Person",":"
"1990","Netherlands","Total","Person","21,210"
"1990","Austria","Total","Person","22,790"
"1990","Poland","Total","Person",":"
"1990","Portugal","Total","Person","60"
"1990","Romania","Total","Person",":"
"1990","Slovenia","Total","Person",":"
"1990","Slovakia","Total","Person",":"
"1990","Finland","Total","Person","2,745"
"1990","Sweden","Total","Person","29,420"
"1990","United Kingdom","Total","Person","38,200"
"1990","Iceland","Total","Person","5"
"1990","Norway","Total","Person","3,960"
"1990","Switzerland","Total","Person","35,565"
"1991","European Union (27 countries)","Total","Person",":"
"1991","Belgium","Total","Person","15,445"
"1991","Bulgaria","Total","Person",":"
"1991","Czech Republic","Total","Person",":"
"1991","Denmark","Total","Person","4,610"
"1991","Germany (until 1990 former territory of the FRG)","Total","Person","256,110"
"1991","Estonia","Total","Person",":"
"1991","Ireland","Total","Person","30"
"1991","Greece","Total","Person","2,700"
"1991","Spain","Total","Person","8,140"
"1991","France","Total","Person","47,380"
"1991","Italy","Total","Person","24,490"
"1991","Cyprus","Total","Person",":"
"1991","Latvia","Total","Person",":"
"1991","Lithuania","Total","Person",":"
"1991","Luxembourg","Total","Person","240"
"1991","Hungary","Total","Person",":"
"1991","Malta","Total","Person",":"
"1991","Netherlands","Total","Person","21,615"
"1991","Austria","Total","Person","27,305"
"1991","Poland","Total","Person",":"
"1991","Portugal","Total","Person","235"
"1991","Romania","Total","Person","315"
"1991","Slovenia","Total","Person",":"
"1991","Slovakia","Total","Person",":"
"1991","Finland","Total","Person","2,135"
"1991","Sweden","Total","Person","27,350"
"1991","United Kingdom","Total","Person","73,400"
"1991","Iceland","Total","Person","20"
"1991","Norway","Total","Person","4,570"
"1991","Switzerland","Total","Person","41,240"
"1992","European Union (27 countries)","Total","Person",":"
"1992","Belgium","Total","Person","17,675"
"1992","Bulgaria","Total","Person",":"
"1992","Czech Republic","Total","Person",":"
"1992","Denmark","Total","Person","13,885"
"1992","Germany (until 1990 former territory of the FRG)","Total","Person","438,190"
"1992","Estonia","Total","Person",":"
"1992","Ireland","Total","Person","40"
"1992","Greece","Total","Person","2,110"
"1992","Spain","Total","Person","11,710"
"1992","France","Total","Person","28,870"
"1992","Italy","Total","Person","2,590"
"1992","Cyprus","Total","Person",":"
"1992","Latvia","Total","Person",":"
"1992","Lithuania","Total","Person",":"
"1992","Luxembourg","Total","Person","120"
"1992","Hungary","Total","Person",":"
"1992","Malta","Total","Person",":"
"1992","Netherlands","Total","Person","20,345"
"1992","Austria","Total","Person","16,240"
"1992","Poland","Total","Person",":"
"1992","Portugal","Total","Person","655"
"1992","Romania","Total","Person","425"
"1992","Slovenia","Total","Person",":"
"1992","Slovakia","Total","Person","85"
"1992","Finland","Total","Person","3,635"
"1992","Sweden","Total","Person","84,020"
"1992","United Kingdom","Total","Person","32,300"
"1992","Iceland","Total","Person","15"
"1992","Norway","Total","Person","5,240"
"1992","Switzerland","Total","Person","18,935"
"1993","European Union (27 countries)","Total","Person",":"
"1993","Belgium","Total","Person","26,715"
"1993","Bulgaria","Total","Person",":"
"1993","Czech Republic","Total","Person",":"
"1993","Denmark","Total","Person","14,345"
"1993","Germany (until 1990 former territory of the FRG)","Total","Person","322,600"
"1993","Estonia","Total","Person",":"
"1993","Ireland","Total","Person","90"
"1993","Greece","Total","Person","860"
"1993","Spain","Total","Person","12,645"
"1993","France","Total","Person","27,565"
"1993","Italy","Total","Person","1,320"
"1993","Cyprus","Total","Person",":"
"1993","Latvia","Total","Person",":"
"1993","Lithuania","Total","Person",":"
"1993","Luxembourg","Total","Person","225"
"1993","Hungary","Total","Person",":"
"1993","Malta","Total","Person",":"
"1993","Netherlands","Total","Person","35,400"
"1993","Austria","Total","Person","4,745"
"1993","Poland","Total","Person",":"
"1993","Portugal","Total","Person","2,090"
"1993","Romania","Total","Person","930"
"1993","Slovenia","Total","Person",":"
"1993","Slovakia","Total","Person","95"
"1993","Finland","Total","Person","2,025"
"1993","Sweden","Total","Person","37,580"
"1993","United Kingdom","Total","Person","28,500"
"1993","Iceland","Total","Person","0"
"1993","Norway","Total","Person","12,875"
"1993","Switzerland","Total","Person","25,235"
"1994","European Union (27 countries)","Total","Person",":"
"1994","Belgium","Total","Person","14,340"
"1994","Bulgaria","Total","Person",":"
"1994","Czech Republic","Total","Person",":"
"1994","Denmark","Total","Person","6,650"
"1994","Germany (until 1990 former territory of the FRG)","Total","Person","127,210"
"1994","Estonia","Total","Person",":"
"1994","Ireland","Total","Person","360"
"1994","Greece","Total","Person","1,105"
"1994","Spain","Total","Person","11,990"
"1994","France","Total","Person","25,960"
"1994","Italy","Total","Person","1,830"
"1994","Cyprus","Total","Person",":"
"1994","Latvia","Total","Person",":"
"1994","Lithuania","Total","Person",":"
"1994","Luxembourg","Total","Person","260"
"1994","Hungary","Total","Person",":"
"1994","Malta","Total","Person",":"
"1994","Netherlands","Total","Person","52,575"
"1994","Austria","Total","Person","5,080"
"1994","Poland","Total","Person","600"
"1994","Portugal","Total","Person","615"
"1994","Romania","Total","Person","645"
"1994","Slovenia","Total","Person","30"
"1994","Slovakia","Total","Person","140"
"1994","Finland","Total","Person","835"
"1994","Sweden","Total","Person","18,640"
"1994","United Kingdom","Total","Person","32,830"
"1994","Iceland","Total","Person",":"
"1994","Norway","Total","Person","3,380"
"1994","Switzerland","Total","Person","15,930"
"1995","European Union (27 countries)","Total","Person",":"
"1995","Belgium","Total","Person","11,410"
"1995","Bulgaria","Total","Person",":"
"1995","Czech Republic","Total","Person",":"
"1995","Denmark","Total","Person","5,105"
"1995","Germany (until 1990 former territory of the FRG)","Total","Person","127,935"
"1995","Estonia","Total","Person",":"
"1995","Ireland","Total","Person","420"
"1995","Greece","Total","Person","1,280"
"1995","Spain","Total","Person","5,680"
"1995","France","Total","Person","20,415"
"1995","Italy","Total","Person","1,760"
"1995","Cyprus","Total","Person",":"
"1995","Latvia","Total","Person",":"
"1995","Lithuania","Total","Person",":"
"1995","Luxembourg","Total","Person","280"
"1995","Hungary","Total","Person",":"
"1995","Malta","Total","Person",":"
"1995","Netherlands","Total","Person","29,260"
"1995","Austria","Total","Person","5,920"
"1995","Poland","Total","Person","840"
"1995","Portugal","Total","Person","330"
"1995","Romania","Total","Person","635"
"1995","Slovenia","Total","Person","35"
"1995","Slovakia","Total","Person","360"
"1995","Finland","Total","Person","850"
"1995","Sweden","Total","Person","9,045"
"1995","United Kingdom","Total","Person","43,965"
"1995","Iceland","Total","Person",":"
"1995","Norway","Total","Person","1,460"
"1995","Switzerland","Total","Person","17,160"
"1996","European Union (27 countries)","Total","Person",":"
"1996","Belgium","Total","Person","12,435"
"1996","Bulgaria","Total","Person",":"
"1996","Czech Republic","Total","Person",":"
"1996","Denmark","Total","Person","5,895"
"1996","Germany (until 1990 former territory of the FRG)","Total","Person","117,335"
"1996","Estonia","Total","Person",":"
"1996","Ireland","Total","Person","1,180"
"1996","Greece","Total","Person","1,640"
"1996","Spain","Total","Person","4,730"
"1996","France","Total","Person","17,405"
"1996","Italy","Total","Person","680"
"1996","Cyprus","Total","Person",":"
"1996","Latvia","Total","Person",":"
"1996","Lithuania","Total","Person",":"
"1996","Luxembourg","Total","Person","265"
"1996","Hungary","Total","Person","1,260"
"1996","Malta","Total","Person",":"
"1996","Netherlands","Total","Person","22,855"
"1996","Austria","Total","Person","6,990"
