freq,unit,citizen,sex,age,decision,geo\TIME_PERIOD	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,AT	3470 	3070 	2725 	3390 	3780 	3605 	3615 	3815 	3735 	3495 	3385 	3155 	3240 	2925 	3380 	3695 	4005 	3520 	3990 	4375 	4230 	4405 	4455 	3525 	695 	1945 	2375 	4390 	4315 	5325 	5085 	6375 	7745 	10790 	10530 	13350 	10955 	10655 	11540 	12010 	11195 	9925 	7325 	6075 	4905 	3335 	3015 	2635 	2655 	2040 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,BE	3030 	3550 	2765 	3610 	3335 	3535 	3635 	3865 	3710 	3520 	4030 	4965 	4890 	3905 	4380 	6635 	6500 	6310 	5720 	5970 	5750 	5270 	4720 	5655 	5085 	4715 	4825 	5715 	5040 	4700 	4415 	5265 	6205 	6920 	5735 	6100 	6185 	6245 	5730 	5890 	5385 	5900 	3740 	3990 	4250 	3845 	3680 	5395 	4880 	3890 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,BG	155 	220 	235 	60 	125 	150 	220 	150 	140 	120 	125 	135 	115 	115 	105 	270 	155 	170 	175 	140 	255 	340 	670 	1545 	2865 	1445 	1005 	2120 	1195 	2160 	2000 	820 	380 	435 	865 	1365 	1360 	1955 	900 	525 	410 	390 	535 	770 	160 	420 	330 	340 	305 	205 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,CH	1575 	2130 	1845 	1970 	1920 	2335 	3100 	3315 	4260 	4830 	3245 	2685 	3140 	3205 	4165 	3740 	4685 	4245 	3815 	3885 	3970 	4525 	3820 	4285 	5830 	5530 	5000 	5440 	5895 	5505 	5020 	5420 	6160 	6015 	5055 	5350 	4365 	3960 	3940 	3960 	4085 	4480 	4350 	4085 	2605 	3020 	3275 	3415 	3315 	2590 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,CY	0 	0 	0 	0 	755 	1250 	1175 	670 	680 	615 	535 	610 	495 	1030 	665 	435 	425 	275 	370 	265 	170 	215 	175 	235 	215 	270 	410 	405 	485 	390 	705 	485 	600 	510 	330 	535 	475 	790 	645 	540 	510 	380 	800 	790 	615 	640 	1090 	930 	1160 	205 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,CZ	550 	385 	245 	215 	180 	140 	110 	100 	120 	115 	120 	145 	210 	180 	160 	140 	220 	165 	160 	170 	165 	185 	230 	320 	175 	280 	225 	320 	300 	405 	300 	330 	375 	405 	280 	240 	300 	290 	330 	270 	375 	310 	320 	375 	355 	355 	385 	295 	290 	255 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,DE	5600 	4215 	4725 	4705 	6140 	6865 	7290 	6470 	8115 	10600 	13040 	13550 	11785 	9480 	8915 	10100 	11555 	12360 	12080 	22610 	13690 	15155 	22655 	24670 	21205 	19750 	20655 	35670 	48535 	45960 	54255 	100530 	138650 	117830 	163320 	211290 	191770 	165045 	90940 	76445 	58885 	40415 	37510 	42300 	49110 	34725 	37995 	32350 	35490 	33250 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,DK	250 	425 	335 	235 	170 	225 	405 	850 	650 	855 	875 	900 	825 	975 	815 	945 	870 	875 	1175 	1760 	1520 	1235 	1705 	2505 	1640 	1920 	2370 	2125 	3815 	2905 	2520 	3055 	2205 	3150 	2490 	2565 	2480 	2360 	1100 	940 	605 	485 	670 	865 	770 	765 	655 	840 	460 	280 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EE	5 	5 	0 	0 	10 	0 	5 	10 	15 	10 	10 	5 	10 	10 	30 	5 	10 	20 	20 	5 	10 	15 	20 	10 	10 	15 	15 	15 	20 	35 	50 	70 	45 	55 	50 	45 	55 	45 	25 	25 	25 	30 	10 	15 	25 	20 	15 	30 	25 	15 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EL	880 	7525 	9325 	11850 	4140 	5270 	3125 	1815 	1000 	1145 	710 	600 	1345 	2400 	2635 	2290 	2880 	3545 	1525 	3240 	2855 	3000 	3895 	3335 	4180 	5050 	2185 	1890 	2550 	2355 	2500 	2235 	2140 	2380 	3090 	3845 	4430 	5760 	6780 	7545 	6860 	8055 	8605 	8820 	8310 	7315 	8275 	8800 	11210 	18275 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,ES	1490 	880 	1300 	1460 	1310 	1145 	1075 	955 	490 	670 	840 	780 	800 	650 	935 	1010 	575 	670 	580 	765 	655 	565 	465 	685 	665 	790 	1315 	850 	650 	750 	820 	1015 	2285 	2230 	3600 	2135 	3560 	2275 	2475 	3745 	3370 	2275 	3400 	2835 	2845 	6375 	18270 	30545 	33685 	8090 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EU27_2020	38930 	45935 	48030 	57255 	50495 	51765 	48065 	49395 	45270 	47795 	48985 	53705 	48195 	51140 	51445 	60780 	59970 	58670 	55095 	86580 	62405 	68040 	74200 	87155 	77510 	77715 	80025 	105785 	113920 	116525 	132100 	196040 	232195 	227165 	273265 	342865 	287300 	264575 	193030 	188875 	157820 	135065 	125965 	134050 	134280 	124830 	136145 	145580 	142590 	94580 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EU28	44245 	52130 	54525 	63025 	56845 	58970 	57455 	57545 	52315 	54625 	55460 	60010 	54590 	56625 	57090 	66200 	66030 	63845 	60375 	92060 	69120 	74385 	79615 	91125 	81095 	82420 	88145 	115190 	126640 	124580 	140690 	204745 	240345 	234645 	280865 	350545 	294965 	271020 	199665 	195970 	166170 	142240 	132855 	140635 	141870 	131685 	143115 	152685 	: 	: 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,FI	335 	380 	345 	510 	525 	810 	355 	955 	1340 	1240 	1045 	625 	725 	575 	530 	770 	655 	730 	790 	910 	825 	820 	810 	755 	550 	560 	570 	665 	585 	585 	720 	1065 	2005 	4945 	6690 	7110 	2530 	1870 	1540 	1240 	1205 	1050 	1145 	1040 	1250 	1325 	1175 	1095 	1245 	640 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,FR	8075 	7250 	7915 	8520 	8450 	8385 	8870 	9590 	9295 	9385 	9180 	9750 	9345 	11090 	9780 	12000 	14705 	14435 	14020 	16645 	12975 	15035 	14605 	19100 	16700 	16805 	16235 	18760 	17025 	19425 	19735 	21725 	19880 	21695 	21445 	24465 	23045 	26860 	30425 	30615 	29760 	27880 	27510 	29900 	29070 	28510 	28320 	27995 	23230 	14065 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	40 	45 	40 	100 	25 	40 	25 	45 	45 	80 	65 	40 	35 	70 	45 	35 	50 	95 	100 	135 	110 	110 	125 	100 	105 	95 	135 	65 	55 	75 	125 	80 	90 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,HU	105 	255 	265 	285 	395 	580 	430 	405 	350 	220 	300 	175 	165 	200 	245 	285 	330 	335 	230 	205 	345 	1475 	1510 	1210 	655 	440 	1060 	3290 	1255 	690 	530 	860 	1000 	1030 	875 	2205 	2210 	540 	745 	675 	510 	195 	155 	100 	160 	200 	150 	195 	185 	215 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,IE	900 	855 	930 	935 	905 	780 	765 	680 	505 	425 	375 	290 	395 	340 	355 	280 	260 	240 	225 	215 	215 	230 	170 	230 	240 	235 	295 	295 	285 	220 	235 	255 	395 	420 	750 	565 	115 b	145 	270 	355 	375 	360 	180 	260 	300 	420 	400 	750 	375 	10 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,IS	0 	10 	15 	25 	5 	10 	5 	15 	0 	10 	0 	5 	5 	5 	15 	10 	10 	15 	20 	25 	20 	45 	25 	40 	10 	15 	10 	20 	50 	15 	50 	80 	65 	95 	115 	265 	95 	70 	95 	125 	100 	75 	100 	105 	145 	140 	215 	210 	200 	105 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,IT	3230 	4385 	5560 	7045 	7710 	7150 	4005 	4145 	3255 	2720 	2290 	3010 	3215 	5455 	7185 	8245 	4495 	4335 	2920 	15530 	6710 	6315 	4805 	5735 	7380 	8650 	9405 	9750 	10625 	13760 	19645 	27310 	23145 	24360 	20050 	22320 	18910 	19160 	18590 	21570 	22850 	24775 	24390 	23195 	21620 	26395 	23140 	22330 	16815 	5090 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,LI	5 	0 	5 	0 	5 	5 	20 	45 	50 	30 	5 	0 	5 	15 	15 	10 	10 	10 	20 	10 	10 	5 	10 	15 	5 	5 	0 	0 	10 	0 	10 	5 	20 	10 	20 	25 	10 	5 	10 	20 	10 	10 	15 	10 	5 	5 	10 	10 	5 	: 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,LT	20 	20 	25 	35 	75 	35 	25 	10 	30 	30 	15 	110 	65 	25 	100 	115 	80 	130 	100 	80 	45 	40 	55 	30 	50 	30 	35 	65 	30 	60 	35 	55 	40 	40 	60 	145 	125 	105 	100 	40 	100 	75 	65 	30 	70 	65 	110 	75 	70 	100 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,LU	125 	170 	110 	85 	110 	80 	135 	145 	155 	75 	105 	135 	230 	275 	180 	330 	535 	445 	190 	475 	430 	260 	280 	280 	215 	240 	175 	255 	250 	185 	150 	195 	205 	245 	390 	410 	380 	480 	440 	415 	345 	435 	365 	265 	370 	240 	305 	260 	245 	215 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,LV	5 	0 	5 	0 	15 	0 	10 	15 	15 	15 	5 	15 	15 	20 	15 	40 	65 	30 	30 	25 	35 	25 	10 	25 	25 	30 	15 	25 	20 	45 	75 	30 	65 	50 	75 	70 	130 	120 	85 	30 	20 	45 	30 	30 	30 	40 	25 	55 	30 	30 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,MT	610 	555 	940 	580 	700 	685 	490 	700 	210 	30 	65 	40 	35 	520 	570 	480 	250 	105 	510 	725 	535 	340 	340 	690 	565 	415 	300 	455 	330 	295 	370 	500 	490 	360 	390 	195 	395 	180 	215 	320 	300 	335 	370 	490 	385 	200 	285 	170 	330 	210 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,NL	2360 	3020 	3080 	2465 	3780 	3850 	5155 	4780 	4185 	4605 	4495 	4295 	3905 	3890 	3835 	4150 	4030 	3020 	3265 	3350 	2770 	2675 	2970 	3775 	3250 	3600 	5655 	6290 	5615 	3090 	4035 	7730 	8985 	8430 	7185 	4275 	4495 	4445 	3650 	3350 	2700 	2490 	2345 	2750 	3175 	3470 	2930 	3365 	3085 	2130 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,NO	1540 	2005 	2030 	3410 	3065 	3015 	4005 	4600 	4225 	3775 	3845 	3615 	3050 	2275 	1895 	2330 	3115 	2215 	2520 	2755 	2580 	2665 	2760 	3775 	2110 	1485 	1950 	2095 	2275 	1935 	2170 	3095 	2755 	5700 	5735 	5125 	3055 	1740 	965 	940 	445 	555 	415 	700 	525 	615 	685 	630 	455 	405 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,PL	1340 	1290 	520 	1095 	1695 	1555 	1785 	1545 	1170 	1275 	1080 	895 	750 	860 	815 	790 	695 	500 	595 	685 	610 	660 	960 	665 	670 	595 	540 	890 	920 	965 	970 	655 	600 	620 	615 	645 	835 	745 	435 	585 	845 	650 	570 	435 	600 	470 	425 	500 	625 	565 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,PT	35 	30 	25 	20 	30 	40 	10 	15 	35 	30 	30 	35 	30 	15 	25 	45 	55 	60 	50 	65 	65 	100 	85 	50 	40 	40 	55 	90 	65 	55 	145 	105 	185 	110 	165 	135 	155 	365 	185 	250 	250 	190 	175 	425 	130 	190 	200 	220 	170 	25 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,RO	95 	110 	180 	285 	200 	105 	115 	120 	120 	45 	85 	175 	105 	190 	385 	400 	455 	485 	515 	170 	365 	390 	365 	315 	295 	345 	340 	605 	265 	460 	315 	285 	245 	250 	305 	495 	430 	505 	620 	510 	335 	280 	275 	405 	260 	295 	265 	495 	570 	405 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,SE	6105 	7240 	6365 	9750 	5895 	5370 	5165 	7490 	5850 	6465 	6145 	9185 	5430 	5865 	5310 	7210 	6015 	5760 	5650 	7895 	6965 	9160 	8110 	11715 	10010 	9395 	9810 	10690 	9630 	11590 	12385 	14965 	14075 	19765 	23790 	38150 	11725 	13435 	15105 	20800 	10410 	7935 	5310 	7680 	5380 	5085 	4565 	5695 	5255 	4165 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,SI	60 	35 	25 	35 	35 	35 	30 	25 	20 	25 	25 	45 	30 	70 	50 	55 	30 	50 	60 	65 	60 	55 	45 	35 	15 	30 	20 	25 	30 	30 	15 	55 	50 	65 	70 	80 	75 	75 	50 	40 	75 	75 	50 	35 	45 	50 	50 	70 	95 	85 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,SK	110 	70 	95 	95 	45 	125 	75 	70 	75 	70 	75 	75 	45 	70 	40 	60 	100 	55 	110 	180 	50 	50 	50 	45 	70 	90 	55 	65 	40 	50 	20 	20 	165 	20 	35 	30 	40 	20 	10 	25 	10 	25 	15 	35 	25 	20 	20 	20 	15 	20 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,TOTAL	47365 	56280 	58420 	68430 	61840 	64335 	64580 	65520 	60850 	63265 	62555 	66315 	60790 	62125 	63175 	72295 	73850 	70330 	66745 	98730 	75700 	81620 	86235 	99245 	89055 	89450 	95105 	122745 	134875 	132035 	147935 	213345 	249350 	246465 	291785 	361315 	302495 	276790 	204675 	201020 	170810 	147355 	137735 	145540 	145155 	135460 	147300 	156950 	153770 	101315 d
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,UK	5315 	6200 	6495 	5770 	6350 	7205 	9385 	8150 	7050 	6835 	6475 	6305 	6400 	5485 	5645 	5425 	6065 	5175 	5280 	5480 	6715 	6345 	5415 	3970 	3590 	4705 	8115 	9410 	12720 	8055 	8590 	8705 	8155 	7480 	7600 	7680 	7670 	6445 	6635 	7095 	8345 	7175 	6890 	6590 	7590 	6855 	6975 	7105 	7205 	3630 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,AT	3470 	3070 	2725 	3390 	3780 	3605 	3615 	3815 	3735 	3495 	3385 	3155 	3240 	2925 	3380 	3695 	4005 	3520 	3990 	4375 	4230 	4405 	4455 	3525 	695 	1945 	2375 	4390 	4315 	5325 	5085 	6375 	7745 	10790 	10530 	13350 	10955 	10655 	11540 	12010 	11195 	9925 	7325 	6075 	4905 	3335 	3015 	2635 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,BE	3030 	3550 	2765 	3610 	3335 	3535 	3635 	3865 	3710 	3520 	4030 	4965 	4890 	3905 	4380 	6635 	6500 	6310 	5720 	5970 	5750 	5270 	4720 	5655 	5085 	4715 	4825 	5715 	5040 	4700 	4415 	5265 	6205 	6920 	5735 	6100 	6185 	6245 	5730 	5890 	5385 	5900 	3740 	3990 	4250 	3845 	3680 	5395 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,BG	155 	220 	235 	60 	125 	150 	220 	150 	140 	120 	125 	135 	115 	115 	105 	270 	155 	170 	175 	140 	255 	340 	670 	1545 	2865 	1445 	1005 	2120 	1195 	2160 	2000 	820 	380 	435 	865 	1365 	1360 	1955 	900 	525 	410 	390 	535 	770 	160 	420 	330 	340 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,CH	1575 	2130 	1845 	1970 	1920 	2335 	3100 	3315 	4260 	4830 	3245 	2685 	3135 	3205 	4165 	3740 	4685 	4245 	3815 	3885 	3970 	4525 	3820 	4285 	5830 	5530 	5000 	5440 	5895 	5505 	5020 	5420 	6160 	6015 	5055 	5350 	4365 	3960 	3940 	3960 	4085 	4480 	4350 	4085 	2605 	3020 	3275 	3415 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,CY	0 	0 	0 	0 	755 	1250 	1175 	670 	680 	615 	535 	610 	495 	1030 	665 	435 	425 	275 	370 	265 	170 	215 	175 	235 	215 	270 	410 	405 	485 	390 	705 	485 	600 	510 	330 	535 	475 	790 	645 	540 	510 	380 	800 	790 	615 	640 	1090 	930 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,CZ	550 	385 	245 	215 	180 	140 	110 	100 	120 	115 	120 	145 	210 	180 	160 	140 	220 	165 	160 	170 	165 	185 	230 	320 	175 	280 	225 	320 	300 	405 	300 	330 	375 	405 	280 	240 	300 	290 	330 	270 	375 	310 	320 	375 	355 	355 	385 	295 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,DE	5600 	4215 	4725 	4705 	6140 	6865 	7290 	6470 	8115 	10600 	13040 	13550 	11785 	9480 	8915 	10100 	11555 	12360 	12080 	22610 	13685 	15155 	22655 	24670 	21205 	19750 	20655 	35670 	48535 	45960 	54255 	100530 	138650 	117830 	163320 	211285 	191770 	165045 	90935 	76440 	58885 	40415 	37510 	42300 	49110 	34720 	37995 	32350 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,DK	250 	425 	335 	235 	170 	225 	405 	850 	650 	855 	875 	900 	825 	975 	815 	945 	870 	875 	1175 	1760 	1520 	1235 	1705 	2505 	1640 	1920 	2370 	2125 	3815 	2905 	2520 	3055 	2205 	3150 	2490 	2565 	2480 	2360 	1100 	935 	605 	485 	670 	865 	765 	765 	655 	840 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EE	5 	5 	0 	0 	10 	0 	5 	10 	15 	10 	10 	5 	10 	10 	30 	5 	10 	20 	20 	5 	10 	15 	20 	10 	10 	15 	15 	15 	20 	35 	50 	70 	45 	55 	50 	45 	55 	45 	25 	25 	25 	30 	10 	15 	25 	20 	15 	30 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EL	880 	7525 	9325 	11850 	4140 	5270 	3125 	1815 	1000 	1145 	710 	600 	1345 	2400 	2635 	2290 	2880 	3545 	1525 	3240 	2855 	3000 	3895 	3335 	4180 	5050 	2185 	1890 	2550 	2355 	2500 	2235 	2140 	2380 	3090 	3845 	4430 	5760 	6780 	7545 	6860 	8055 	8605 	8820 	8310 	7315 	8275 	8800 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,ES	1490 	880 	1300 	1460 	1310 	1145 	1075 	955 	490 	670 	840 	780 	800 	650 	935 	1010 	575 	670 	580 	765 	655 	565 	465 	685 	665 	790 	1315 	850 	650 	750 	820 	1015 	2285 	2230 	3600 	2135 	3560 	2275 	2475 	3745 	3370 	2275 	3400 	2835 	2845 	6375 	18270 	30545 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EU27_2020	38930 d	45935 d	48030 d	57255 d	50495 d	51765 d	48065 d	49395 d	45270 d	47795 d	48985 d	53705 d	48195 d	51135 d	51445 d	60780 d	59970 	58670 	55095 	86580 	62405 	68040 	74200 	87150 	77510 	77715 	80025 	105785 	113920 	116525 	132100 	196040 	232195 	227165 	273260 	342865 	287300 	264575 	193025 	188875 	157820 	135065 	125965 	134045 	134280 	124830 	136140 	145575 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL,EU28	44245 d	52130 d	54525 d	63025 d	56845 d	58970 d	57455 d	57545 d	52315 d	54625 d	55460 d	60010 d	54590 	56625 	57090 	66200 	66030 	63845 	60375 	92060 	69120 	74380 	79615 	91120 	81095 	82420 	88145 	115190 	126640 	124580 	140690 	204745 	240345 	234645 	280860 	350545 	294965 	271020 	199655 	195970 	166170 	142240 	132855 	140635 	141870 	131680 	143115 	152680 	: 	: 
