freq,unit,citizen,sex,age,decision,geo\TIME_PERIOD	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,PER,TOTAL,T,TOTAL,TOTAL,SI	60 	35 	25 	35 	45 	35 	30 	25 	20 	25 	25 	45 	35 	70 	55 	55 	30 	55 	60 	75 	60 	55 	45 	35 	15 	30 	20 	25 	30 	30 	15 	55 	50 	65 	70 	80 	75 	75 	50 	40 	75 	75 	50 	35 	45 	50 	50 	70 	95 	85 
Q,PER,TOTAL,T,TOTAL,TOTAL,SK	110 	70 	95 	95 	45 	125 	75 	75 	75 	70 	75 	75 	45 	75 	40 	60 	100 	55 	110 	180 	50 	50 	50 	45 	70 	90 	55 	65 	40 	50 	25 	20 	165 	20 	35 	30 	40 	20 	10 	25 	10 	25 	15 	35 	30 	20 	20 	20 	15 	20 
Q,PER,TOTAL,T,TOTAL,TOTAL,TOTAL	47640 d	56610 d	58710 d	68665 d	62030 d	64615 d	64990 d	66280 d	61385 d	63775 d	62820 d	66515 d	60975 	62240 	63355 	72505 	74035 	70555 	66905 	98945 	75930 	81845 	86465 	99445 	89245 	89590 	95285 	122920 	135030 	132150 	148060 	213475 	249475 	246560 	291880 	361425 	302610 	276925 	204760 	201100 	170920 	147450 	137805 	145605 	145255 	135530 	147400 	157065 	153850 	101355 d
Q,PER,TOTAL,T,TOTAL,TOTAL,UK	5320 	6205 	6495 	5775 	6350 	7205 	9390 	8155 	7065 	6835 	6480 	6310 	6410 	5485 	5645 	5430 	6070 	5180 	5285 	5515 	6750 	6370 	5460 	3985 	3630 	4730 	8180 	9465 	12770 	8100 	8640 	8755 	8180 	7515 	7630 	7700 	7695 	6465 	6655 	7120 	8370 	7195 	6915 	6605 	7605 	6870 	6995 	7125 	7210 	3635 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,AT	965 	895 	865 	730 	745 	835 	815 	825 	780 	860 	935 	870 	1035 	905 	1080 	1065 	1085 	1035 	1120 	1215 	1185 	1250 	1195 	1290 	545 	1515 	1830 	3280 	2660 	3690 	3755 	4935 	5990 	7635 	7325 	9420 	7305 	6395 	6300 	5200 	4550 	3970 	3450 	3050 	2360 	1820 	1735 	1505 	1565 	1370 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,BE	715 	1060 	860 	870 	700 	685 	655 	870 	875 	660 	925 	1050 	1080 	1125 	1400 	1470 	1085 	1310 	1325 	1830 	1650 	1540 	1630 	1460 	1660 	1760 	2020 	2610 	2495 	2455 	2380 	3145 	3980 	4385 	3390 	3295 	3140 	3345 	2860 	3240 	2560 	3385 	1740 	1990 	1850 	1600 	1350 	1730 	1440 	1735 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,BG	65 	105 	105 	20 	55 	60 	85 	65 	35 	35 	40 	25 	35 	55 	45 	55 	40 	65 	40 	30 	165 	240 	575 	1475 	2795 	1345 	880 	1985 	1095 	1925 	1830 	745 	265 	230 	360 	495 	615 	425 	445 	210 	195 	225 	175 	140 	80 	75 	110 	135 	210 	100 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,CH	1070 	1450 	1160 	1145 	1070 	1290 	1665 	2000 	2785 	2310 	1570 	1150 	1380 	1525 	2090 	1445 	1670 	1020 	705 	885 	1085 	1565 	1400 	2335 	3875 	3905 	3755 	3880 	4060 	4035 	3235 	2670 	3370 	3400 	3000 	3415 	3930 	3565 	3550 	3570 	3620 	3995 	3895 	3715 	2180 	2590 	2910 	3110 	3015 	2340 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,CY	0 	0 	0 	0 	75 	245 	515 	300 	260 	130 	10 	20 	10 	25 	25 	5 	50 	15 	30 	15 	0 	20 	65 	80 	145 	195 	320 	340 	360 	280 	575 	370 	420 	360 	170 	350 	265 	450 	250 	275 	205 	180 	540 	290 	235 	255 	480 	330 	495 	115 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,CZ	45 	70 	45 	55 	40 	30 	10 	20 	25 	50 	35 	60 	125 	75 	65 	55 	60 	40 	35 	40 	55 	70 	90 	130 	50 	85 	85 	155 	140 	135 	90 	95 	165 	130 	90 	55 	55 	35 	35 	20 	45 	45 	25 	35 	35 	40 	40 	20 	15 	50 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,DE	2095 	1690 	2110 	1975 	2275 	2780 	2625 	2085 	2270 	2860 	3145 	2170 	2520 	2390 	2500 	2265 	2470 	5995 	4565 	4110 	4900 	5105 	5120 	4995 	8045 	8020 	9585 	14910 	21305 	19855 	27140 	72610 	94780 	79535 	119070 	140520 	103330 	79105 	43720 	35470 	23670 	16020 	16190 	20055 	22415 	14780 	17800 	15320 	16680 	14955 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,DK	180 	225 	200 	120 	95 	125 	195 	375 	240 	430 	355 	325 	270 	335 	355 	350 	370 	335 	365 	630 	485 	480 	555 	1290 	935 	1065 	1865 	1615 	3355 	2385 	1900 	2355 	1710 	2585 	1640 	1190 	930 	625 	440 	375 	305 	260 	340 	405 	305 	365 	385 	520 	185 	50 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EE	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	5 	5 	0 	0 	5 	0 	5 	0 	5 	0 	0 	0 	0 	5 	0 	10 	5 	5 	10 	20 	30 	20 	30 	35 	35 	25 	40 	40 	10 	5 	10 	5 	0 	5 	10 	10 	5 	20 	10 	5 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EL	0 	15 	0 	35 	40 	60 	40 	25 	40 	20 	20 	30 	75 	55 	35 	15 	15 	15 	0 	65 	70 	30 	55 	350 	340 	500 	415 	720 	1045 	1150 	1200 	630 	440 	525 	560 	1185 	1665 	2430 	2890 	3465 	2915 	3840 	3950 	4510 	4450 	3775 	4595 	4535 	5965 	14340 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,ES	110 	20 	75 	75 	65 	85 	105 	95 	100 	90 	215 	205 	180 	145 	345 	315 	110 	115 	150 	150 	105 	140 	90 	200 	165 	195 	855 	370 	120 	295 	220 	385 	1645 	1565 	2775 	875 	1570 	525 	550 	1445 	395 	525 	630 	1345 	445 	2720 	13260 	21995 	20250 	7155 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EU27_2020	11320 	12375 	13070 	14095 	13575 	13620 	13475 	13690 	12290 	12310 	12700 	11785 	11745 	12815 	13380 	14355 	14930 	18570 	17305 	32355 	22410 	23525 	22905 	30220 	33765 	33570 	39795 	50130 	54455 	54350 	65895 	118995 	140510 	135640 	175650 	211160 	145815 	121105 	84415 	77650 	58905 	50945 	46410 	51060 	47495 	41940 	55150 	61440 	59830 	48635 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EU28	12995 	14260 	14790 	15905 	16205 	15655 	15395 	15500 	13930 	13895 	14285 	13470 	13560 	14420 	15325 	16230 	16975 	20320 	19350 	34370 	25125 	25825 	24905 	31755 	35115 	35435 	42800 	54035 	58735 	57600 	69125 	122190 	143275 	138110 	177770 	213740 	148290 	123290 	86460 	79515 	61230 	53335 	49020 	53845 	51240 	45530 	58815 	65440 	: 	: 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,FI	155 	190 	130 	180 	160 	260 	140 	400 	485 	450 	390 	265 	275 	220 	210 	355 	265 	395 	390 	510 	400 	440 	420 	390 	305 	275 	335 	350 	315 	340 	405 	615 	1190 	1555 	1885 	2435 	1010 	1020 	755 	645 	650 	590 	645 	520 	400 	445 	310 	510 	525 	190 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,FR	1395 	1305 	1235 	1215 	1185 	1190 	1390 	1290 	1415 	1255 	1160 	1270 	1105 	1195 	1075 	1245 	2045 	2195 	1840 	2560 	2105 	2945 	2530 	3125 	3380 	3445 	3270 	4715 	4610 	4910 	5070 	6045 	5590 	7605 	6820 	8735 	7585 	8375 	8180 	8425 	8665 	7365 	7805 	8885 	7495 	7275 	6990 	6380 	4860 	4545 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	10 	10 	0 	5 	0 	15 	0 	5 	5 	10 	5 	15 	5 	15 	5 	0 	10 	45 	40 	20 	35 	40 	50 	15 	35 	40 	45 	15 	5 	25 	15 	15 	5 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,HU	70 	125 	100 	100 	90 	105 	80 	115 	75 	60 	70 	50 	35 	45 	30 	45 	90 	100 	80 	80 	65 	85 	80 	130 	95 	130 	120 	165 	130 	110 	110 	80 	150 	105 	110 	65 	80 	255 	545 	415 	245 	80 	25 	15 	15 	15 	10 	20 	70 	50 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,IE	115 	75 	65 	50 	40 	30 	25 	30 	15 	0 	5 	5 	15 	25 	10 	20 	15 	20 	25 	40 	30 	60 	35 	25 	70 	80 	130 	125 	105 	75 	80 	70 	110 	100 	145 	125 	40 	130 	265 	325 	370 	345 	120 	170 	115 	255 	245 	360 	245 	5 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,IS	0 	5 	5 	0 	0 	5 	0 	0 	0 	10 	0 	0 	0 	5 	5 	0 	0 	0 	5 	0 	0 	5 	5 	0 	5 	10 	10 	5 	15 	5 	10 	25 	25 	20 	15 	30 	25 	10 	20 	15 	25 	20 	30 	30 	30 	55 	95 	130 	120 	85 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,IT	1275 	1850 	2990 	3625 	3085 	2480 	1600 	1895 	1425 	1010 	890 	980 	1125 	1620 	2115 	2285 	3160 	3320 	2185 	13360 	4490 	3410 	3010 	3485 	4670 	5250 	5500 	5165 	5480 	6460 	7850 	9820 	7935 	9060 	8350 	10055 	8300 	8065 	7450 	7985 	8800 	9720 	7270 	4880 	3910 	4990 	4825 	4650 	4055 	1345 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	10 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	5 	15 	20 	10 	5 	5 	0 	5 	0 	0 	5 	0 	0 	5 	5 	0 	: 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LT	15 	15 	10 	25 	30 	5 	5 	0 	0 	10 	5 	5 	5 	0 	10 	5 	10 	15 	15 	15 	10 	15 	20 	5 	25 	10 	10 	25 	15 	30 	5 	35 	15 	15 	45 	120 	100 	90 	75 	25 	60 	30 	30 	10 	35 	25 	25 	10 	15 	30 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LU	25 	95 	55 	15 	30 	15 	25 	40 	25 	10 	15 	15 	10 	10 	5 	10 	15 	10 	0 	15 	20 	40 	45 	25 	30 	25 	15 	50 	65 	20 	35 	65 	130 	135 	240 	260 	190 	270 	345 	320 	265 	355 	245 	150 	240 	125 	165 	140 	125 	115 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LV	0 	0 	0 	0 	0 	0 	0 	5 	5 	10 	0 	5 	5 	5 	0 	5 	10 	5 	5 	5 	10 	10 	5 	5 	5 	0 	5 	15 	0 	5 	5 	5 	25 	20 	35 	55 	95 	100 	55 	15 	5 	15 	5 	10 	5 	15 	5 	10 	5 	5 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,MT	565 	130 	445 	265 	530 	365 	235 	565 	135 	25 	45 	15 	15 	470 	240 	160 	230 	90 	475 	640 	470 	270 	290 	580 	380 	305 	195 	380 	240 	240 	320 	455 	430 	300 	300 	165 	290 	135 	185 	150 	175 	150 	135 	185 	85 	90 	130 	105 	160 	45 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,NL	1405 	1340 	1765 	1170 	1680 	1725 	2850 	1990 	1815 	2010 	2040 	2135 	1855 	1750 	1475 	1745 	1400 	990 	1465 	1650 	1300 	1155 	1400 	2105 	1735 	1830 	4330 	4655 	4505 	2075 	3185 	6685 	7620 	6670 	4510 	2010 	2400 	2015 	1770 	1625 	965 	865 	940 	850 	1040 	1490 	1065 	1250 	1505 	1170 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,NO	580 	635 	505 	1330 	1290 	1290 	950 	980 	1190 	1475 	1325 	1310 	1120 	935 	755 	1205 	1575 	910 	1165 	1525 	1335 	1130 	1265 	2035 	1400 	745 	1340 	1425 	1615 	1440 	1570 	1625 	1725 	3440 	4475 	3135 	2075 	1285 	675 	730 	315 	355 	260 	530 	330 	430 	545 	485 	305 	315 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,PL	490 	1050 	405 	825 	1100 	845 	465 	115 	130 	140 	120 	115 	105 	140 	125 	110 	180 	95 	125 	120 	145 	225 	205 	110 	200 	185 	140 	195 	155 	120 	280 	85 	55 	65 	95 	75 	115 	140 	100 	155 	130 	115 	90 	40 	85 	45 	80 	55 	75 	95 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,PT	30 	15 	15 	5 	20 	20 	0 	5 	15 	10 	10 	25 	25 	10 	10 	20 	25 	25 	10 	35 	45 	55 	30 	5 	10 	5 	20 	70 	45 	15 	95 	40 	120 	45 	90 	70 	60 	235 	105 	100 	125 	105 	55 	345 	75 	50 	45 	5 	0 	0 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,RO	45 	15 	25 	20 	40 	30 	25 	20 	15 	5 	10 	40 	25 	15 	30 	10 	10 	55 	65 	100 	165 	270 	240 	240 	180 	205 	145 	205 	105 	130 	125 	120 	95 	120 	220 	365 	325 	295 	365 	260 	150 	140 	125 	180 	115 	135 	115 	220 	110 	105 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,SE	1535 	2080 	1545 	2675 	1470 	1565 	1565 	2495 	2080 	2145 	2225 	2060 	1775 	2165 	2160 	2695 	2135 	2300 	2920 	5040 	4520 	5635 	5170 	8685 	7945 	7070 	7660 	7975 	6050 	7585 	9160 	9565 	7430 	12790 	17270 	29095 	6220 	6510 	6635 	7410 	3405 	2545 	1800 	2900 	1655 	1515 	1345 	1550 	1225 	1005 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,SI	0 	0 	0 	0 	0 	0 	0 	15 	0 	10 	0 	10 	5 	5 	10 	5 	5 	10 	5 	10 	5 	10 	15 	5 	5 	15 	10 	15 	15 	10 	10 	10 	20 	40 	50 	60 	40 	50 	35 	25 	25 	25 	40 	10 	25 	15 	15 	30 	25 	45 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,SK	20 	10 	25 	35 	35 	85 	25 	30 	30 	15 	15 	30 	25 	30 	25 	40 	45 	10 	50 	85 	15 	15 	20 	20 	50 	45 	40 	35 	20 	30 	15 	15 	160 	15 	20 	15 	25 	15 	5 	20 	5 	0 	5 	30 	10 	5 	5 	10 	10 	5 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,TOTAL	14645 	16350 	16460 	18380 	18565 	18235 	18010 	18485 	17910 	17685 	17180 	15930 	16060 	16885 	18175 	18890 	20225 	22255 	21225 	36780 	27555 	28525 	27580 	36125 	40395 	40090 	47905 	59340 	64420 	63085 	73940 	126515 	148395 	144980 	185275 	220345 	154330 	128155 	90710 	83835 	65195 	57705 	53210 	58125 	53780 	48605 	62370 	69170 	67415 	52995 d
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,UK	1675 	1885 	1720 	1810 	2625 	2035 	1920 	1815 	1635 	1585 	1585 	1685 	1815 	1605 	1945 	1875 	2045 	1745 	2045 	2010 	2715 	2300 	2005 	1530 	1350 	1860 	3005 	3905 	4280 	3250 	3230 	3190 	2765 	2475 	2120 	2580 	2470 	2185 	2045 	1865 	2325 	2385 	2615 	2780 	3740 	3590 	3665 	3995 	4150 	1615 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,AT	965 	895 	865 	730 	745 	835 	815 	825 	780 	860 	935 	870 	1035 	905 	1080 	1065 	1085 	1035 	1120 	1215 	1185 	1250 	1195 	1290 	545 	1515 	1830 	3280 	2660 	3690 	3755 	4935 	5990 	7635 	7325 	9420 	7305 	6395 	6300 	5200 	4550 	3970 	3450 	3050 	2360 	1820 	1735 	1505 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,BE	715 	1060 	860 	870 	700 	685 	655 	870 	875 	660 	925 	1050 	1080 	1125 	1400 	1470 	1085 	1310 	1325 	1830 	1650 	1540 	1630 	1460 	1660 	1760 	2020 	2610 	2495 	2455 	2380 	3145 	3980 	4385 	3390 	3295 	3140 	3345 	2860 	3240 	2560 	3385 	1740 	1990 	1850 	1600 	1350 	1730 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,BG	65 	105 	105 	20 	55 	60 	85 	65 	35 	35 	40 	25 	35 	55 	45 	55 	40 	65 	40 	30 	165 	240 	575 	1475 	2795 	1345 	880 	1985 	1095 	1925 	1830 	745 	265 	230 	360 	495 	615 	425 	445 	210 	195 	225 	175 	140 	80 	75 	110 	135 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,CH	1070 	1450 	1160 	1145 	1070 	1290 	1665 	2000 	2785 	2310 	1570 	1150 	1380 	1525 	2090 	1445 	1670 	1020 	705 	885 	1085 	1565 	1400 	2335 	3875 	3905 	3755 	3880 	4060 	4035 	3235 	2670 	3370 	3400 	3000 	3415 	3930 	3565 	3550 	3570 	3620 	3995 	3895 	3715 	2180 	2590 	2910 	3110 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,CY	0 	0 	0 	0 	75 	245 	515 	300 	260 	130 	10 	20 	10 	25 	25 	5 	50 	15 	30 	15 	0 	20 	65 	80 	145 	195 	320 	340 	360 	280 	575 	370 	420 	360 	170 	350 	265 	450 	250 	275 	205 	180 	540 	290 	235 	255 	480 	330 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,CZ	45 	70 	45 	55 	40 	30 	10 	20 	25 	50 	35 	60 	125 	75 	65 	55 	60 	40 	35 	40 	55 	70 	90 	130 	50 	85 	85 	155 	140 	135 	90 	95 	165 	130 	90 	55 	55 	35 	35 	20 	45 	45 	25 	35 	35 	40 	40 	20 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,DE	2095 	1690 	2110 	1975 	2275 	2780 	2625 	2085 	2270 	2860 	3145 	2170 	2520 	2390 	2500 	2265 	2470 	5995 	4565 	4110 	4900 	5105 	5120 	4995 	8045 	8020 	9585 	14910 	21305 	19855 	27140 	72610 	94780 	79535 	119070 	140520 	103330 	79105 	43720 	35470 	23670 	16020 	16190 	20055 	22415 	14780 	17800 	15320 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,DK	180 	225 	200 	120 	95 	125 	195 	375 	240 	430 	355 	325 	270 	335 	355 	350 	370 	335 	365 	630 	485 	480 	555 	1290 	935 	1065 	1865 	1615 	3355 	2385 	1900 	2355 	1710 	2585 	1640 	1190 	930 	625 	440 	375 	305 	260 	340 	405 	305 	365 	385 	520 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,EE	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	5 	5 	0 	0 	5 	0 	5 	0 	5 	0 	0 	0 	0 	5 	0 	10 	5 	5 	10 	20 	30 	20 	30 	35 	35 	25 	40 	40 	10 	5 	10 	5 	0 	5 	10 	10 	5 	20 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,EL	0 	15 	0 	35 	40 	60 	40 	25 	40 	20 	20 	30 	75 	55 	35 	15 	15 	15 	0 	65 	70 	30 	55 	350 	340 	500 	415 	720 	1045 	1150 	1200 	630 	440 	525 	560 	1185 	1665 	2430 	2890 	3465 	2915 	3840 	3950 	4510 	4450 	3775 	4595 	4535 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,ES	110 	20 	75 	75 	65 	85 	105 	95 	100 	90 	215 	205 	180 	145 	345 	315 	110 	115 	150 	150 	105 	140 	90 	200 	165 	195 	855 	370 	120 	295 	220 	385 	1645 	1565 	2775 	875 	1570 	525 	550 	1445 	395 	525 	630 	1345 	445 	2720 	13260 	21995 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,EU27_2020	11320 d	12375 d	13070 d	14095 d	13575 d	13620 d	13475 d	13690 d	12290 d	12310 d	12700 d	11785 d	11745 d	12815 d	13380 d	14355 d	14930 	18570 	17305 	32355 	22410 	23525 	22905 	30220 	33765 	33570 	39795 	50130 	54455 	54350 	65895 	118995 	140510 	135640 	175650 	211160 	145815 	121105 	84415 	77650 	58905 	50945 	46410 	51060 	47495 	41940 	55150 	61440 	: 	: 
Q,PER,EXT_EU28,T,TOTAL,TOTAL_POS,EU28	12995 d	14260 d	14790 d	15905 d	16205 d	15655 d	15395 d	15500 d	13930 d	13895 d	14285 d	13470 d	13560 	14420 	15325 	16230 	16975 	20320 	19350 	34370 	25125 	25825 	24905 	31750 	35115 	35435 	42800 	54035 	58735 	57600 	69125 	122190 	143275 	138110 	177770 	213740 	148290 	123290 	86460 	79515 	61230 	53335 	49020 	53840 	51240 	45530 	58815 	65440 	: 	: 
